invoice_no,buyer_gstin,period,auto_tax,auto_value
INV-1392,15RQMYJ3165J1ZD,2025-01,6453.72,35854
INV-1393,33JMOJG1572Q1ZA,2025-01,12304.08,68356
INV-1394,30GDERV6083C1ZW,2025-01,93098.88,517216
INV-1395,37KQMQH9486J1ZO,2025-01,160669.44,892608
INV-1396,32PCVHK5199T1ZL,2025-01,117454.5,652525
INV-1397,20DAYTY9195Q1ZK,2025-01,126023.4,700130
INV-1398,16SJUSB4414M1ZL,2025-01,29403,163350
INV-1399,10IPDJZ6359J1ZR,2025-01,28542.24,158568
INV-1400,25NFORJ3744C1ZK,2025-01,98345.16,546362
INV-1401,24FICSI1094E1ZY,2025-01,91671.84,509288
INV-1402,32BIQJN6421R1ZP,2025-01,127792.98,709961
INV-1403,28QGWLJ2674Z1ZR,2025-01,94843.8,526910
INV-1404,15FDDTP4545V1ZG,2025-01,75634.38,420191
INV-1405,32COLPC4200X1ZI,2025-01,20036.38,122549
INV-1406,05VCMUF8489V1ZM,2025-01,81984.42,455469
INV-1407,15GJHYS1847A1ZH,2025-01,88071.3,489285
INV-1408,24DUGXU0820W1ZS,2025-01,3879.72,21554
INV-1409,33CEPRG1825T1ZC,2025-01,107754.34,686445
INV-1410,34EHGJA6310L1ZY,2025-01,118797.66,659987
INV-1411,30AERUX1433Y1ZD,2025-01,163542.71,961119
INV-1412,35DJTGJ6364T1ZR,2025-01,90114.48,500636
INV-1413,14RSRBQ5242U1ZW,2025-01,31680.72,176004
INV-1414,08BIDGE5033L1ZO,2025-01,164312.46,912847
INV-1415,32HEVQW9413R1ZQ,2025-01,172150.56,956392
INV-1416,24DUGXU0820W1ZS,2025-01,98633.88,547966
INV-1417,34EHGJA6310L1ZY,2025-01,30376.26,168757
INV-1418,09YATAM4864G1ZS,2025-01,108090.54,600503
INV-1419,11SDCLJ5375F1ZM,2025-01,163867.32,910374
INV-1420,34WICDY1497H1ZV,2025-01,145737.36,809652
INV-1421,14RVYGQ8899X1ZU,2025-01,76151.52,423064
INV-1422,07LGOAT9126C1ZA,2025-01,123564.96,686472
INV-1423,28XIZTD8670E1ZB,2025-01,90840.24,504668
INV-1424,24VBWWP5457B1ZO,2025-01,110523.6,614020
INV-1425,05ROKNM5636D1ZD,2025-01,100972.26,560957
INV-1426,37DZXIO2158E1ZJ,2025-01,62967.24,349818
INV-1427,05FKCFW5410P1ZT,2025-01,62115.23,375004
INV-1428,15BPBLF6134G1ZU,2025-01,78009.66,433387
INV-1429,01ZYWEM2403M1ZI,2025-01,162615.42,903419
INV-1430,37YCGOK5673O1ZJ,2025-01,127363.68,707576
INV-1431,29KWBNS1542I1ZZ,2025-01,130017.78,722321
INV-1432,22OGRCY5454R1ZD,2025-01,45500.58,252781
INV-1433,13IPZDV7275I1ZY,2025-01,168036.84,933538
INV-1434,13ZETAS9984W1ZS,2025-01,74293.2,412740
INV-1435,34MOXDD4553Y1ZO,2025-01,13488.12,74934
INV-1436,19NHVZG5395E1ZC,2025-01,8862.3,49235
INV-1437,26BCVUJ4608S1ZY,2025-01,72450.9,402505
INV-1438,22NHTSP5266K1ZX,2025-01,7360.2,40890
INV-1439,07WISHY8543K1ZD,2025-01,133680.06,742667
INV-1440,17RSRVQ9634S1ZL,2025-01,122104.26,678357
INV-1441,24FICSI1094E1ZY,2025-01,38740.5,215225
INV-1442,25EBYZI9874U1ZF,2025-01,129928.32,721824
INV-1443,01XAFDY6472D1ZB,2025-01,115173.7,788204
INV-1444,05VCMUF8489V1ZM,2025-01,89274.36,564203
INV-1445,31UJPTT6014H1ZC,2025-01,6375.6,35420
INV-1446,22RNPYX5984U1ZN,2025-01,19958.22,110879
INV-1447,22BUBDU6468E1ZX,2025-01,28330.2,157390
INV-1448,24AAMJP9075Y1ZY,2025-01,71101.91,437847
INV-1449,35WRYZK4650V1ZL,2025-01,15382.8,85460
INV-1450,37FQTGB7390V1ZN,2025-01,139578.48,775436
INV-1451,14RMGAC1549Y1ZQ,2025-01,34237.61,209372
INV-1452,16SPIFR3730X1ZN,2025-01,91213.92,506744
INV-1453,28EDFFB3253W1ZJ,2025-01,118533.96,658522
INV-1454,08MBTFR6385C1ZZ,2025-01,153096.12,850534
INV-1455,10PXUWW9393D1ZK,2025-01,100834.46,665853
INV-1456,35UXMHM3677O1ZE,2025-01,109223.82,606799
INV-1457,18HGTPX7631Z1ZW,2025-01,99426.96,552372
INV-1458,09NPWWL5474U1ZE,2025-01,95928.66,532937
INV-1459,35VOSZO7794O1ZS,2025-01,96583.16,576795
INV-1460,12UNDFD7053Z1ZR,2025-01,156820.32,871224
INV-1461,16SPIFR3730X1ZN,2025-01,49246.56,273592
INV-1462,28EDFFB3253W1ZJ,2025-01,14625.54,81253
INV-1463,03LRWGB4577E1ZQ,2025-01,15913.62,88409
INV-1464,11MNMIA9592L1ZB,2025-01,162835.2,904640
INV-1465,31JIXWO2175M1ZH,2025-01,96180.66,534337
INV-1466,07RBVMQ4335Z1ZI,2025-01,12491.82,69399
INV-1467,13ZETAS9984W1ZS,2025-01,22726.8,126260
INV-1468,24VAZPV6967H1ZI,2025-01,174951.72,971954
INV-1469,01ZYWEM2403M1ZI,2025-01,7891.56,43842
INV-1470,31FVHOH1720Q1ZH,2025-01,39645.18,220251
INV-1471,26BCVUJ4608S1ZY,2025-01,13009.68,72276
INV-1472,05TPSBY1730Y1ZO,2025-01,155958.66,866437
INV-1473,30MYDXG3193K1ZO,2025-01,127000.44,705558
INV-1474,08HUMPU8934F1ZB,2025-01,13697,86453
INV-1475,31JIXWO2175M1ZH,2025-01,134503.92,747244
INV-1476,35UXMHM3677O1ZE,2025-01,80362.62,446459
INV-1477,34UMONK6196O1ZK,2025-01,177211.44,984508
INV-1478,02MNDKU5916Z1ZX,2025-01,92165.04,512028
INV-1479,03RVHXB4166W1ZW,2025-01,9678.24,53768
INV-1480,17QLZGB8883V1ZK,2025-01,92252.19,542261
INV-1481,32HEVQW9413R1ZQ,2025-01,83245.68,462476
INV-1482,18HGTPX7631Z1ZW,2025-01,162200.7,901115
INV-1483,27XRXKV8255D1ZQ,2025-01,12248.1,68045
INV-1484,18HGTPX7631Z1ZW,2025-01,154939.5,860775
INV-1485,31JIXWO2175M1ZH,2025-01,164175.12,912084
INV-1486,13IPAHZ6941B1ZH,2025-01,141078.24,783768
INV-1487,04WDZIZ8918F1ZY,2025-01,11641.14,64673
INV-1488,09GQGPS2908J1ZG,2025-01,133059.96,739222
INV-1489,20LYXYH7117T1ZT,2025-01,82362.06,457567
INV-1490,33GASVP6844K1ZR,2025-01,84460.68,469226
INV-1491,24JKLOZ6878R1ZN,2025-01,172339.56,957442
INV-1492,35GZUXF6547Y1ZM,2025-01,66562.74,369793
INV-1493,37HOAHL5644G1ZQ,2025-01,46753.02,259739
INV-1494,36OGHIS7867O1ZZ,2025-01,3696.66,20537
INV-1495,20QFFHN7621D1ZA,2025-01,143842.5,799125
INV-1496,23FGCUW4619F1ZZ,2025-01,153128.34,850713
INV-1497,11XORDW1743Y1ZO,2025-01,48971.16,272062
INV-1498,37HOAHL5644G1ZQ,2025-01,25716.78,142871
INV-1499,23DZKDZ8794X1ZR,2025-01,10051.74,55843
INV-1500,17BQZRF3950I1ZH,2025-01,125466.48,697036
INV-1501,17LHZWC3326A1ZV,2025-01,116201.88,645566
INV-1502,05ROKNM5636D1ZD,2025-01,20083.47,138320
INV-1503,07PYOXJ9158H1ZD,2025-01,49023.36,272352
INV-1504,14RMGAC1549Y1ZQ,2025-01,134912.34,749513
INV-1505,27GSPZJ3581V1ZG,2025-01,163885.5,910475
INV-1506,12UYSDK4157G1ZO,2025-01,58936.14,327423
INV-1507,02MNDKU5916Z1ZX,2025-01,57042,316900
INV-1508,28VNADR1712I1ZE,2025-01,170343.9,946355
INV-1509,37DZXIO2158E1ZJ,2025-01,103989.42,577719
INV-1510,08KOGSA9577V1ZG,2025-01,67225.14,373473
INV-1511,28PDYEO0579V1ZP,2025-01,119174.22,662079
INV-1512,07PYOXJ9158H1ZD,2025-01,37293.9,223442
INV-1513,33DMNBY8459F1ZW,2025-01,45312.12,251734
INV-1514,36DBOKO0277G1ZN,2025-01,41581.26,231007
INV-1515,30TJATI8878C1ZJ,2025-01,155886.48,866036
INV-1516,29KMIDW3933Y1ZL,2025-01,133607.52,742264
INV-1517,10LHQLF8276N1ZW,2025-01,87444.72,485804
INV-1518,03ADQIX9273K1ZF,2025-01,159651,886950
INV-1519,17VTPBI0990P1ZB,2025-01,112826.52,626814
INV-1520,16SPIFR3730X1ZN,2025-01,14913.15,98597
INV-1521,24ZUBJL1972F1ZW,2025-01,116885.88,649366
INV-1522,13DTOUN0309Z1ZJ,2025-01,164642.76,914682
INV-1523,18ODSCR8472B1ZM,2025-01,10183.14,56573
INV-1524,25WOJRT9700I1ZG,2025-01,36609.3,203385
INV-1525,13UZHER1153N1ZI,2025-01,11663.64,64798
INV-1526,36RMEFB7030P1ZQ,2025-01,104013.9,577855
INV-1527,31UECLL4769D1ZB,2025-01,173566.8,964260
INV-1528,07EJJFF1911E1ZP,2025-01,65259,362550
INV-1529,31XBJCK7866O1ZT,2025-01,113339.7,629665
INV-1530,07GELKH2948R1ZD,2025-01,66151.08,367506
INV-1531,28JJHJZ8074N1ZZ,2025-01,82497.06,458317
INV-1532,07WISHY8543K1ZD,2025-01,106230.6,590170
INV-1533,09YATAM4864G1ZS,2025-01,177798.24,987768
INV-1534,20DAYTY9195Q1ZK,2025-01,178837.02,993539
INV-1535,12MCGFN0921W1ZF,2025-01,109875.06,610417
INV-1536,17PEYKL7714U1ZV,2025-01,50892.3,282735
INV-1537,25WOJRT9700I1ZG,2025-01,90005.94,500033
INV-1538,30AERUX1433Y1ZD,2025-01,4665.6,25920
INV-1539,09IMTOG3467P1ZR,2025-01,49202.58,297721
INV-1540,09DBASM4906N1ZO,2025-01,104250.78,579171
INV-1541,31XAWLF5211T1ZW,2025-01,76278.42,423769
INV-1542,15FDDTP4545V1ZG,2025-01,70067.52,389264
INV-1543,31GRZPF0457Y1ZM,2025-01,149477.94,830433
INV-1544,09DBASM4906N1ZO,2025-01,116555.94,647533
INV-1545,16ENVGK3459H1ZJ,2025-01,109089.54,606053
INV-1546,07LGOAT9126C1ZA,2025-01,51725.88,287366
INV-1547,24MLYMO3828C1ZJ,2025-01,5058.9,28105
INV-1548,09QPAGU3964M1ZL,2025-01,8784.18,48801
INV-1549,16NUPSH6521C1ZF,2025-01,161161.02,895339
INV-1550,04VZDVJ6652C1ZA,2025-01,12857.4,71430
INV-1551,07PYOXJ9158H1ZD,2025-01,53977.32,299874
INV-1552,37MBBYX5093G1ZS,2025-01,13887.72,77154
INV-1553,31FVHOH1720Q1ZH,2025-01,146373.12,813184
INV-1554,28SKVPD3953S1ZY,2025-01,95214.6,528970
INV-1555,11ARWIM9524W1ZR,2025-01,34734.78,192971
INV-1556,10MAKDX6534I1ZR,2025-01,125611.56,697842
INV-1557,19NHVZG5395E1ZC,2025-01,125351.64,696398
INV-1558,13IPAHZ6941B1ZH,2025-01,97439.94,541333
INV-1559,07LVITY3702O1ZP,2025-01,9718.74,53993
INV-1560,06BKSMK4513C1ZO,2025-01,13277.88,73766
INV-1561,13YHHYZ7764P1ZL,2025-01,4842.18,26901
INV-1562,20DAYTY9195Q1ZK,2025-01,162120.24,900668
INV-1563,11XORDW1743Y1ZO,2025-01,10243.08,56906
INV-1564,32KVMCA7225F1ZY,2025-01,22403.88,124466
INV-1565,26MXGQK3310O1ZO,2025-01,23162.4,128680
INV-1566,21GDLDB9849F1ZK,2025-01,40311.54,223953
INV-1567,05DFRAS8941C1ZH,2025-01,158294.52,879414
INV-1568,35UXMHM3677O1ZE,2025-01,122952.06,683067
INV-1569,09TZQKZ3893V1ZV,2025-01,28805.22,160029
INV-1570,16WFFGQ1196V1ZP,2025-01,150561,836450
INV-1571,33BHVEY8550D1ZZ,2025-01,171176.94,950983
INV-1572,07MIHIH6961Q1ZY,2025-01,179686.98,998261
INV-1573,01ZYWEM2403M1ZI,2025-01,32058,178100
INV-1574,32BIQJN6421R1ZP,2025-01,177389.82,985499
INV-1575,36OGHIS7867O1ZZ,2025-01,6619.5,36775
INV-1576,03TEJUW3138X1ZO,2025-01,154311.3,857285
INV-1577,11SDCLJ5375F1ZM,2025-01,149184.9,828805
INV-1578,05FKCFW5410P1ZT,2025-01,136344.06,757467
INV-1579,19HPLRJ0839I1ZU,2025-01,73303.56,407242
INV-1580,05ROKNM5636D1ZD,2025-01,138876.84,771538
INV-1581,26BCVUJ4608S1ZY,2025-01,124334.64,690748
INV-1582,02QGMCY4236X1ZW,2025-01,178372.98,990961
INV-1583,30HKWUQ7160F1ZD,2025-01,110221.74,612343
INV-1584,19GBHOT1335A1ZF,2025-01,80709.84,448388
INV-1585,17ISQWW8337Y1ZP,2025-01,161778.06,898767
INV-1586,35IAWGP9053Z1ZK,2025-01,116386.56,646592
INV-1587,27PXNVO3752G1ZT,2025-01,100009.98,555611
INV-1588,08ITQSA3261T1ZU,2025-01,38609.46,214497
INV-1589,02PDJVP7634L1ZN,2025-01,47858.76,265882
INV-1590,32COLPC4200X1ZI,2025-01,146687.76,814932
INV-1591,18VWRZF3773X1ZN,2025-01,61219.44,340108
INV-1592,11MNMIA9592L1ZB,2025-01,85792.32,476624
INV-1593,07PYOXJ9158H1ZD,2025-01,68234.76,379082
INV-1594,02QGMCY4236X1ZW,2025-01,174431.52,969064
INV-1595,12IBLFU5177E1ZT,2025-01,116031.06,644617
INV-1596,37TIQTD1337Y1ZR,2025-01,80855.28,449196
INV-1597,16SPIFR3730X1ZN,2025-01,157850.1,876945
INV-1598,37OBSNY5715M1ZC,2025-01,48031.56,266842
INV-1599,31UJPTT6014H1ZC,2025-01,127484.82,708249
INV-1600,31FVHOH1720Q1ZH,2025-01,152012.7,844515
INV-1601,37MBBYX5093G1ZS,2025-01,24064.92,133694
INV-1602,16PUSXA7955G1ZZ,2025-01,97120.44,539558
INV-1603,08HUMPU8934F1ZB,2025-01,98160.41,673360
INV-1604,24VBWWP5457B1ZO,2025-01,167215.86,928977
INV-1605,20BKPAH2123A1ZP,2025-01,24598.08,136656
INV-1606,10LHQLF8276N1ZW,2025-01,106473.06,591517
INV-1607,19AHHWB2275Z1ZG,2025-01,25656.66,142537
INV-1608,19DSYYK9906Z1ZT,2025-01,6316.74,35093
INV-1609,26PRCLW1234K1ZY,2025-01,26785.44,148808
INV-1610,35AVCWT8752Z1ZZ,2025-01,175184.28,973246
INV-1611,16PUSXA7955G1ZZ,2025-01,68684.58,381581
INV-1612,25XVAOH1860M1ZQ,2025-01,106918.92,593994
INV-1613,10UXOZO1226O1ZL,2025-01,24265.98,134811
INV-1614,30URHFU6941V1ZB,2025-01,171358.56,951992
INV-1615,31JIXWO2175M1ZH,2025-01,118184.76,656582
INV-1616,23FGCUW4619F1ZZ,2025-01,13549.15,87335
INV-1617,31OGHKW0555T1ZE,2025-01,173683.98,964911
INV-1618,11ZVDLZ4968I1ZK,2025-01,129434.18,786677
INV-1619,31CMVHJ5547D1ZK,2025-01,91850.58,510281
INV-1620,19GBHOT1335A1ZF,2025-01,36425.16,202362
INV-1621,29GPDUQ3180A1ZF,2025-01,178581.24,992118
INV-1622,02BMKRM9006C1ZE,2025-01,170838.54,949103
INV-1623,17FCAJZ6575Y1ZF,2025-01,71611.2,397840
INV-1624,07YOCHN3434T1ZP,2025-01,73404.54,407803
INV-1625,07DFPTR1747Y1ZS,2025-01,97807.68,543376
INV-1626,12QUDKQ3015Y1ZU,2025-01,147699.9,820555
INV-1627,23IJWMU7732K1ZN,2025-01,94905.9,527255
INV-1628,10JFUTH4535V1ZH,2025-01,99508.32,552824
INV-1629,28RGIRK8590U1ZF,2025-01,161111.88,895066
INV-1630,25EGGDE2273H1ZX,2025-01,74290.32,412724
INV-1631,21WQDBL3205J1ZO,2025-01,28827.36,160152
INV-1632,12QUDKQ3015Y1ZU,2025-01,140455.8,780310
INV-1633,33DMNBY8459F1ZW,2025-01,54318.96,301772
INV-1634,24JKLOZ6878R1ZN,2025-01,61134.84,339638
INV-1635,23DZKDZ8794X1ZR,2025-01,33054.48,183636
INV-1636,15FDDTP4545V1ZG,2025-01,93649.32,520274
INV-1637,15HFZLT1044G1ZD,2025-01,33758.1,187545
INV-1638,27GSPZJ3581V1ZG,2025-01,50765.58,282031
INV-1639,03TENLH9489P1ZL,2025-01,176296.5,979425
INV-1640,14SMXLB1455V1ZZ,2025-01,28413.36,157852
INV-1641,36DBOKO0277G1ZN,2025-01,160116.3,889535
INV-1642,20BKPAH2123A1ZP,2025-01,6962.04,38678
INV-1643,36HRYDD1526W1ZK,2025-01,169903.44,943908
INV-1644,32COLPC4200X1ZI,2025-01,38629.98,214611
INV-1645,15CWMZP8277H1ZH,2025-01,157022.46,872347
INV-1646,30BVMNQ5720L1ZH,2025-01,54995.04,305528
INV-1647,08AQDWU9435U1ZG,2025-01,85757.76,476432
INV-1648,22DRBDW4138T1ZF,2025-01,87461.1,485895
INV-1649,01ROKEJ7672R1ZE,2025-01,136987.74,761043
INV-1650,24XCJQJ1507G1ZE,2025-01,24437.88,135766
INV-1651,32DTGZE8076K1ZO,2025-01,94898.7,527215
INV-1652,35WRYZK4650V1ZL,2025-01,27623.52,153464
INV-1653,22RNPYX5984U1ZN,2025-01,23781.42,132119
INV-1654,07PYOXJ9158H1ZD,2025-01,142277.58,790431
INV-1655,27GCAOZ3676Y1ZA,2025-01,63540.9,353005
INV-1656,24SVPXC2616S1ZU,2025-01,53913.6,299520
INV-1657,22XMMAD1488O1ZZ,2025-01,98596.08,547756
INV-1658,26PRCLW1234K1ZY,2025-01,135205.74,751143
INV-1659,13ZETAS9984W1ZS,2025-01,176336.82,979649
INV-1660,19AHHWB2275Z1ZG,2025-01,177778.44,987658
INV-1661,33DMNBY8459F1ZW,2025-01,52652.79,342951
INV-1662,05GFPYJ6220G1ZK,2025-01,126584.1,703245
INV-1663,25YWFYY6699G1ZI,2025-01,100323.82,675318
INV-1664,33KBBSU5181T1ZK,2025-01,27634.14,153523
INV-1665,32OMAAG9846J1ZN,2025-01,179815.86,998977
INV-1666,11VUDGQ8518D1ZJ,2025-01,51870.96,288172
INV-1667,23ICNHB0945Q1ZK,2025-01,155412.54,863403
INV-1668,14RMGAC1549Y1ZQ,2025-01,55138.86,306327
INV-1669,19PUOEW4276M1ZH,2025-01,167113.62,928409
INV-1670,07TFIVZ2570F1ZP,2025-01,148526,908794
INV-1671,31UPTFL7002D1ZC,2025-01,14495.04,80528
INV-1672,34UMONK6196O1ZK,2025-01,41161.86,228677
INV-1673,15ZCRGV9092Z1ZM,2025-01,131652.18,731401
INV-1674,13THBXY4145Q1ZA,2025-01,120902.22,671679
INV-1675,16NUPSH6521C1ZF,2025-01,67615.56,375642
INV-1676,05ROKNM5636D1ZD,2025-01,35785.98,198811
INV-1677,15IYXVG6513R1ZC,2025-01,166957.92,927544
INV-1678,28ZJAFJ0381V1ZA,2025-01,94326.12,524034
INV-1679,18FZLKA1555K1ZD,2025-01,69205.5,384475
INV-1680,13BJPBB8562G1ZK,2025-01,20019.96,111222
INV-1681,31GSLZY0374P1ZD,2025-01,168063.3,933685
INV-1682,30VRLYP0969K1ZX,2025-01,86200.92,478894
INV-1683,34BBHYY0751Q1ZV,2025-01,81990.54,455503
INV-1684,11WUFFF2658Y1ZV,2025-01,61991.46,344397
INV-1685,08GDJDK5544R1ZW,2025-01,133348.32,740824
INV-1686,10GQLRX4250L1ZS,2025-01,147827.52,821264
INV-1687,05OAYVM5936M1ZB,2025-01,164876.22,915979
INV-1688,04VZDVJ6652C1ZA,2025-01,123376.42,730604
INV-1689,32BIQJN6421R1ZP,2025-01,52368.84,290938
INV-1690,10VYYJE5725D1ZS,2025-01,162418.5,902325
INV-1691,05SXWQV5720I1ZR,2025-01,147472.02,819289
INV-1692,32VROXP3750B1ZY,2025-01,61748.28,343046
INV-1693,22BUBDU6468E1ZX,2025-01,85215.42,473419
INV-1694,31FVHOH1720Q1ZH,2025-01,174003.66,966687
INV-1695,23ICNHB0945Q1ZK,2025-01,120433.42,773559
INV-1696,19PUOEW4276M1ZH,2025-01,156291.3,868285
INV-1697,11ZVDLZ4968I1ZK,2025-01,79149.24,439718
INV-1698,37AGPDL6303U1ZL,2025-01,33232.32,184624
INV-1699,04QPORH7041C1ZZ,2025-01,119818.8,665660
INV-1700,05GMCIH9139D1ZK,2025-01,117557.1,653095
INV-1701,17LHZWC3326A1ZV,2025-01,115982.46,644347
INV-1702,28PDYEO0579V1ZP,2025-01,138115.98,767311
INV-1703,13THBXY4145Q1ZA,2025-01,18834.48,104636
INV-1704,16GQPXB3303O1ZV,2025-01,68369.94,379833
INV-1705,34EHGJA6310L1ZY,2025-01,11088.9,61605
INV-1706,24LMPWW0966C1ZZ,2025-01,102866.94,571483
INV-1707,30WTALU8473O1ZW,2025-01,102909.6,571720
INV-1708,11SDCLJ5375F1ZM,2025-01,45085.32,250474
INV-1709,20JPFRF1837S1ZH,2025-01,173680.02,964889
INV-1710,28EFEHW0622N1ZR,2025-01,42495.84,236088
INV-1711,20PNNMO4031N1ZS,2025-01,179221.5,995675
INV-1712,08QTTWS7738Q1ZV,2025-01,5580.18,31001
INV-1713,30HKWUQ7160F1ZD,2025-01,76908.06,427267
INV-1714,28CTVOP5313V1ZY,2025-01,55231.38,306841
INV-1715,15IYXVG6513R1ZC,2025-01,121001.94,672233
INV-1716,33CEPRG1825T1ZC,2025-01,53224.74,295693
INV-1717,18HGTPX7631Z1ZW,2025-01,73117.98,406211
INV-1718,37WUZXT8972Z1ZL,2025-01,156248.1,868045
INV-1719,16VCWGM6308F1ZP,2025-01,13534.39,90244
INV-1720,29CPGOQ5801U1ZL,2025-01,117381.17,747661
INV-1721,04WDERP3542R1ZA,2025-01,141970.86,788727
INV-1722,15QYSPP2554L1ZZ,2025-01,30460.14,169223
INV-1723,28QGWLJ2674Z1ZR,2025-01,151401.96,841122
INV-1724,22DRBDW4138T1ZF,2025-01,116120.34,645113
INV-1725,36CPIKH3099H1ZS,2025-01,77767.24,455804
INV-1726,13SKRJX4200R1ZH,2025-01,58829.58,326831
INV-1727,01XAFDY6472D1ZB,2025-01,20613.78,114521
INV-1728,09GBSOO4553O1ZI,2025-01,110554.2,614190
INV-1729,32BIQJN6421R1ZP,2025-01,82871.82,460399
INV-1730,05GMCIH9139D1ZK,2025-01,78492.24,436068
INV-1731,28ZJAFJ0381V1ZA,2025-01,55483.02,308239
INV-1732,05GISRT5596K1ZQ,2025-01,47969.28,266496
INV-1733,17QLZGB8883V1ZK,2025-01,139121.82,772899
INV-1734,05DFRAS8941C1ZH,2025-01,145754.82,809749
INV-1735,07WISHY8543K1ZD,2025-01,87163.02,484239
INV-1736,04FXWBG6219S1ZS,2025-01,76797,426650
INV-1737,24GJXEK3626W1ZD,2025-01,91794.06,509967
INV-1738,26BMEVV8172Y1ZO,2025-01,60425.64,335698
INV-1739,22BUBDU6468E1ZX,2025-01,120692.16,670512
INV-1740,05SXWQV5720I1ZR,2025-01,27240.66,187477
INV-1741,28WVVSN3687O1ZW,2025-01,94248.72,523604
INV-1742,30SLTZH8544X1ZS,2025-01,28475.1,158195
INV-1743,30WTALU8473O1ZW,2025-01,73325.84,506516
INV-1744,30WTALU8473O1ZW,2025-01,108749.52,604164
INV-1745,01PNWWB9905L1ZD,2025-01,94929.48,527386
INV-1746,26JOBAE4475D1ZQ,2025-01,141566.76,786482
INV-1747,17BTNTM7515T1ZB,2025-01,8690.94,48283
INV-1748,10JFUTH4535V1ZH,2025-01,114806.52,637814
INV-1749,22CJJIG0419C1ZR,2025-01,52410.6,291170
INV-1750,30MYDXG3193K1ZO,2025-01,107951.22,599729
INV-1751,17QLZGB8883V1ZK,2025-01,60879.78,338221
INV-1752,36CPIKH3099H1ZS,2025-01,88880.94,493783
INV-1753,05GFPYJ6220G1ZK,2025-01,134825.44,910362
INV-1754,33OLPXT6026S1ZS,2025-01,82148.4,456380
INV-1755,09GQGPS2908J1ZG,2025-01,25823.7,143465
INV-1756,25RPIWK6623K1ZJ,2025-01,143008.2,794490
INV-1757,24FICSI1094E1ZY,2025-01,84394.44,468858
INV-1758,15HFZLT1044G1ZD,2025-01,81861.66,454787
INV-1759,02DGGTT2309P1ZR,2025-01,136372.92,852167
INV-1760,35DJTGJ6364T1ZR,2025-01,143167.68,795376
INV-1761,01YAOQS0373X1ZX,2025-01,3547.44,19708
INV-1762,31UPTFL7002D1ZC,2025-01,57332.7,318515
INV-1763,27PXNVO3752G1ZT,2025-01,62648.28,348046
INV-1764,05DFRAS8941C1ZH,2025-01,108215.64,601198
INV-1765,05QMSQD0091H1ZR,2025-01,56572.74,314293
INV-1766,30BVMNQ5720L1ZH,2025-01,133845.47,851811
INV-1767,29KHVLK6051U1ZO,2025-01,71871.66,399287
INV-1768,31GRZPF0457Y1ZM,2025-01,90907.74,505043
INV-1769,24VAZPV6967H1ZI,2025-01,64118.7,356215
INV-1770,09ZQYNS3134S1ZV,2025-01,136767.06,759817
INV-1771,25LRRCQ7701W1ZZ,2025-01,80374.5,446525
INV-1772,07MIHIH6961Q1ZY,2025-01,14454.72,80304
INV-1773,20LYXYH7117T1ZT,2025-01,37222.2,206790
INV-1774,01OMLEB9484C1ZS,2025-01,103293.36,573852
INV-1775,01OMLEB9484C1ZS,2025-01,13333.68,74076
INV-1776,13WYNFU5666L1ZH,2025-01,31329.36,174052
INV-1777,19PUOEW4276M1ZH,2025-01,107337.06,596317
INV-1778,26NZCQC9327O1ZU,2025-01,4466.7,24815
INV-1779,15GJHYS1847A1ZH,2025-01,156712.14,870623
INV-1780,21GOQYP4748T1ZH,2025-01,59508.36,330602
INV-1781,01PNWWB9905L1ZD,2025-01,77914.26,432857
INV-1782,16YRIXY3529Y1ZL,2025-01,122897.7,682765
INV-1783,02QGMCY4236X1ZW,2025-01,113656.86,631427
INV-1784,08AQDWU9435U1ZG,2025-01,42651.9,236955
INV-1785,19QXCON7991F1ZB,2025-01,108187.2,601040
INV-1786,05HBKZG8109G1ZT,2025-01,100384.02,557689
INV-1787,01PNWWB9905L1ZD,2025-01,74078.64,411548
INV-1788,30NOLJE6582Q1ZI,2025-01,162873.72,904854
INV-1789,06NNJXC8925F1ZK,2025-01,154172.52,856514
INV-1790,36ROMWN3496L1ZY,2025-01,91152.54,506403
INV-1791,36FQOFP8086K1ZI,2025-01,149655.06,831417
INV-1792,17FSITY6172S1ZY,2025-01,177246,984700
INV-1793,24RTYKT1404N1ZI,2025-01,32908.32,182824
INV-1794,08AHFTR8040G1ZH,2025-01,62827.92,349044
INV-1795,30VRLYP0969K1ZX,2025-01,11650.32,64724
INV-1796,29TDFSP4053R1ZZ,2025-01,84788.46,471047
INV-1797,07MIHIH6961Q1ZY,2025-01,63536.04,352978
INV-1798,22OGRCY5454R1ZD,2025-01,23938.92,132994
INV-1799,03MJDYW5974K1ZH,2025-01,73014.66,405637
INV-1800,26RRSRZ2430W1ZS,2025-01,68802.3,382235
INV-1801,25RPIWK6623K1ZJ,2025-01,61626.42,342369
INV-1802,23IJVXP7370D1ZH,2025-01,116061.66,644787
INV-1803,06HRMLH7142V1ZS,2025-01,121419.9,674555
INV-1804,24RTYKT1404N1ZI,2025-01,160321.14,890673
INV-1805,04JLHRP1012C1ZP,2025-01,94302,523900
INV-1806,31GRZPF0457Y1ZM,2025-01,131158.8,728660
INV-1807,13IPZDV7275I1ZY,2025-01,83981.52,466564
INV-1808,21WQDBL3205J1ZO,2025-01,6574.32,36524
INV-1809,11WUFFF2658Y1ZV,2025-01,147273.12,818184
INV-1810,18IKFFB5950X1ZW,2025-01,70823.72,454677
INV-1811,20SDOVY1377U1ZN,2025-01,134797.66,928861
