gstin,period,itc_claimed,total_tax_paid,filing_date,due_date
21GDLDB9849F1ZK,2025-02,1186824,1167016,27-02-2026,27-02-2026
21GDLDB9849F1ZK,2025-03,630102,586298,27-02-2026,27-02-2026
21GDLDB9849F1ZK,2025-04,1020473,1054668,27-02-2026,27-02-2026
21GDLDB9849F1ZK,2025-05,548738,526326,27-02-2026,27-02-2026
21GDLDB9849F1ZK,2025-06,333716,379574,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-01,1556392,1575145,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-02,481365,434812,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-03,1353363,1336741,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-04,612893,635850,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-05,1749563,1716345,27-02-2026,27-02-2026
11MNMIA9592L1ZB,2025-06,1090751,1082605,27-02-2026,27-02-2026
31HACDG3400R1ZG,2025-01,707722,665222,27-02-2026,27-02-2026
31HACDG3400R1ZG,2025-02,1975773,2013731,27-02-2026,10-02-2026
31HACDG3400R1ZG,2025-03,1395778,1359646,27-02-2026,27-02-2026
31HACDG3400R1ZG,2025-04,1763780,1755061,27-02-2026,27-02-2026
31HACDG3400R1ZG,2025-05,1921145,1898854,27-02-2026,12-02-2026
31HACDG3400R1ZG,2025-06,367345,331077,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-01,1023558,1006736,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-02,996752,1021776,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-03,1201182,1165235,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-04,999154,965521,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-05,1801198,1844817,27-02-2026,27-02-2026
05KLOVQ6103K1ZR,2025-06,430288,473352,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-01,837294,856483,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-02,1929642,1949104,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-03,1423917,1437718,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-04,1014248,1002753,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-05,1265932,1265524,27-02-2026,27-02-2026
33KBBSU5181T1ZK,2025-06,1993127,1943770,27-02-2026,27-02-2026
20PNNMO4031N1ZS,2025-01,469531,471141,27-02-2026,27-02-2026
20PNNMO4031N1ZS,2025-02,1619537,1607834,27-02-2026,30-01-2026
20PNNMO4031N1ZS,2025-03,562214,525784,27-02-2026,27-02-2026
20PNNMO4031N1ZS,2025-04,1180900,1144744,27-02-2026,27-02-2026
20PNNMO4031N1ZS,2025-05,414667,421861,27-02-2026,27-02-2026
20PNNMO4031N1ZS,2025-06,1060821,1094629,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-01,1772014,1739414,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-02,19955,10080,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-03,1632597,1630440,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-04,48198,16119,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-05,1023241,1031064,27-02-2026,27-02-2026
31GRZPF0457Y1ZM,2025-06,1456910,1463344,27-02-2026,27-02-2026
37YCAID6479X1ZX,2025-01,1996313,2019571,27-02-2026,27-02-2026
37YCAID6479X1ZX,2025-02,465141,502492,27-02-2026,27-02-2026
37YCAID6479X1ZX,2025-03,906225,881954,27-02-2026,14-02-2026
37YCAID6479X1ZX,2025-04,1107313,1066422,27-02-2026,27-02-2026
37YCAID6479X1ZX,2025-05,323460,307751,27-02-2026,27-02-2026
37YCAID6479X1ZX,2025-06,531128,525470,27-02-2026,19-02-2026
14OZMJY4556X1ZV,2025-01,818396,803475,27-02-2026,27-02-2026
14OZMJY4556X1ZV,2025-02,1595165,1625548,27-02-2026,27-02-2026
14OZMJY4556X1ZV,2025-03,448709,480513,27-02-2026,27-02-2026
14OZMJY4556X1ZV,2025-04,514007,542573,27-02-2026,27-02-2026
14OZMJY4556X1ZV,2025-05,1562935,1604447,27-02-2026,27-02-2026
14OZMJY4556X1ZV,2025-06,97591,115999,27-02-2026,27-02-2026
13YHHYZ7764P1ZL,2025-01,404696,378399,27-02-2026,07-02-2026
13YHHYZ7764P1ZL,2025-02,1854789,1835818,27-02-2026,27-02-2026
13YHHYZ7764P1ZL,2025-03,205018,166039,27-02-2026,18-02-2026
13YHHYZ7764P1ZL,2025-04,1762731,1807077,27-02-2026,17-02-2026
13YHHYZ7764P1ZL,2025-05,700053,685748,27-02-2026,03-02-2026
13YHHYZ7764P1ZL,2025-06,433006,471081,27-02-2026,30-01-2026
08OOXKI7109C1ZL,2025-01,1805610,1816324,27-02-2026,27-02-2026
08OOXKI7109C1ZL,2025-02,1605620,1632751,27-02-2026,27-02-2026
08OOXKI7109C1ZL,2025-03,1217799,1222457,27-02-2026,27-02-2026
08OOXKI7109C1ZL,2025-04,1274906,1265542,27-02-2026,27-02-2026
08OOXKI7109C1ZL,2025-05,1813944,1808035,27-02-2026,08-02-2026
08OOXKI7109C1ZL,2025-06,1993503,2002579,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-01,207325,161430,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-02,1631759,1671827,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-03,729581,741203,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-04,1145471,1191061,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-05,1944649,1901357,27-02-2026,27-02-2026
31FVHOH1720Q1ZH,2025-06,625174,589527,27-02-2026,04-02-2026
27IMRDZ9168P1ZP,2025-01,1863162,1854288,27-02-2026,27-02-2026
27IMRDZ9168P1ZP,2025-02,1877319,1855444,27-02-2026,25-02-2026
27IMRDZ9168P1ZP,2025-03,1804086,1847594,27-02-2026,27-02-2026
27IMRDZ9168P1ZP,2025-04,1698452,1662093,27-02-2026,29-01-2026
27IMRDZ9168P1ZP,2025-05,1397801,1407297,27-02-2026,27-02-2026
27IMRDZ9168P1ZP,2025-06,1430673,1474901,27-02-2026,27-02-2026
19QXCON7991F1ZB,2025-01,822028,814007,27-02-2026,10-02-2026
19QXCON7991F1ZB,2025-02,389664,370020,27-02-2026,27-02-2026
19QXCON7991F1ZB,2025-03,656348,615541,27-02-2026,27-02-2026
19QXCON7991F1ZB,2025-04,562998,583518,27-02-2026,27-02-2026
19QXCON7991F1ZB,2025-05,932020,954887,27-02-2026,27-02-2026
19QXCON7991F1ZB,2025-06,952153,916620,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-01,697219,709748,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-02,1161790,1120529,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-03,1773739,1800658,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-04,358643,372939,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-05,1922175,1957178,27-02-2026,27-02-2026
19WAOCZ2954E1ZQ,2025-06,1221004,1259316,27-02-2026,27-02-2026
08ITQSA3261T1ZU,2025-01,1319714,1322710,27-02-2026,27-02-2026
08ITQSA3261T1ZU,2025-02,219548,263794,27-02-2026,27-02-2026
08ITQSA3261T1ZU,2025-03,1430583,1454017,27-02-2026,27-02-2026
08ITQSA3261T1ZU,2025-04,1846408,1844630,27-02-2026,20-02-2026
08ITQSA3261T1ZU,2025-05,1505819,1485560,27-02-2026,27-02-2026
08ITQSA3261T1ZU,2025-06,459848,469581,27-02-2026,27-02-2026
21CREDI2227K1ZJ,2025-01,436145,402395,27-02-2026,27-02-2026
21CREDI2227K1ZJ,2025-02,782611,806730,27-02-2026,14-02-2026
21CREDI2227K1ZJ,2025-03,55714,70339,27-02-2026,27-02-2026
21CREDI2227K1ZJ,2025-04,922695,971179,27-02-2026,27-02-2026
21CREDI2227K1ZJ,2025-05,545337,567090,27-02-2026,27-02-2026
21CREDI2227K1ZJ,2025-06,578293,626562,27-02-2026,27-02-2026
24SBDHK5873D1ZU,2025-01,20020,-22233,27-02-2026,27-02-2026
24SBDHK5873D1ZU,2025-02,85936,94205,27-02-2026,27-02-2026
24SBDHK5873D1ZU,2025-03,104656,74185,27-02-2026,27-02-2026
24SBDHK5873D1ZU,2025-04,116778,162012,27-02-2026,27-02-2026
24SBDHK5873D1ZU,2025-05,1636345,1591633,27-02-2026,12-02-2026
24SBDHK5873D1ZU,2025-06,343251,369837,27-02-2026,27-02-2026
15FDDTP4545V1ZG,2025-01,380073,426145,27-02-2026,27-02-2026
15FDDTP4545V1ZG,2025-02,1581098,1571141,27-02-2026,22-02-2026
15FDDTP4545V1ZG,2025-03,1947623,1924641,27-02-2026,27-02-2026
15FDDTP4545V1ZG,2025-04,552371,579531,27-02-2026,04-02-2026
15FDDTP4545V1ZG,2025-05,1217379,1264483,27-02-2026,27-02-2026
15FDDTP4545V1ZG,2025-06,1889319,1888449,27-02-2026,23-02-2026
06NNJXC8925F1ZK,2025-01,1456308,1431854,27-02-2026,27-02-2026
06NNJXC8925F1ZK,2025-02,865355,898070,27-02-2026,27-02-2026
06NNJXC8925F1ZK,2025-03,588518,596891,27-02-2026,27-02-2026
06NNJXC8925F1ZK,2025-04,1076882,1087364,27-02-2026,27-02-2026
06NNJXC8925F1ZK,2025-05,1408433,1421913,27-02-2026,27-02-2026
06NNJXC8925F1ZK,2025-06,1918950,1876793,27-02-2026,27-02-2026
14SMXLB1455V1ZZ,2025-01,403245,430180,27-02-2026,27-02-2026
14SMXLB1455V1ZZ,2025-02,753663,788539,27-02-2026,27-02-2026
14SMXLB1455V1ZZ,2025-03,1679531,1685913,27-02-2026,04-02-2026
14SMXLB1455V1ZZ,2025-04,973831,939608,27-02-2026,27-02-2026
14SMXLB1455V1ZZ,2025-05,419027,462706,27-02-2026,27-02-2026
14SMXLB1455V1ZZ,2025-06,1620299,1653553,27-02-2026,23-02-2026
17VTPBI0990P1ZB,2025-01,617074,596486,27-02-2026,27-02-2026
17VTPBI0990P1ZB,2025-02,549356,507386,27-02-2026,27-02-2026
17VTPBI0990P1ZB,2025-03,744410,743826,27-02-2026,27-02-2026
17VTPBI0990P1ZB,2025-04,108023,96494,27-02-2026,27-02-2026
17VTPBI0990P1ZB,2025-05,1898233,1861288,27-02-2026,27-02-2026
17VTPBI0990P1ZB,2025-06,1785705,1800481,27-02-2026,27-02-2026
09TZQKZ3893V1ZV,2025-01,319664,332617,27-02-2026,27-02-2026
09TZQKZ3893V1ZV,2025-02,928172,892655,27-02-2026,22-02-2026
09TZQKZ3893V1ZV,2025-03,1217232,1259850,27-02-2026,03-02-2026
09TZQKZ3893V1ZV,2025-04,225138,232688,27-02-2026,27-02-2026
09TZQKZ3893V1ZV,2025-05,1564596,1557298,27-02-2026,27-02-2026
09TZQKZ3893V1ZV,2025-06,1841539,1891294,27-02-2026,27-02-2026
23DZKDZ8794X1ZR,2025-01,1470248,1480347,27-02-2026,27-02-2026
23DZKDZ8794X1ZR,2025-02,1451905,1440454,27-02-2026,27-02-2026
23DZKDZ8794X1ZR,2025-03,1031482,1075760,27-02-2026,13-02-2026
23DZKDZ8794X1ZR,2025-04,843910,811669,27-02-2026,27-02-2026
23DZKDZ8794X1ZR,2025-05,1788775,1796237,27-02-2026,27-02-2026
23DZKDZ8794X1ZR,2025-06,1558206,1553785,27-02-2026,27-02-2026
15GJHYS1847A1ZH,2025-01,160706,162645,27-02-2026,27-02-2026
15GJHYS1847A1ZH,2025-02,1214926,1173674,27-02-2026,27-02-2026
15GJHYS1847A1ZH,2025-03,892917,878661,27-02-2026,29-01-2026
15GJHYS1847A1ZH,2025-04,274473,268442,27-02-2026,27-02-2026
15GJHYS1847A1ZH,2025-05,1742585,1729646,27-02-2026,14-02-2026
15GJHYS1847A1ZH,2025-06,1879254,1896411,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-01,1440369,1417129,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-02,829527,870452,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-03,681660,724724,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-04,78817,115733,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-05,833910,792386,27-02-2026,27-02-2026
03LRWGB4577E1ZQ,2025-06,71890,113846,27-02-2026,07-02-2026
37IPRIH1623B1ZR,2025-01,484868,447135,27-02-2026,27-02-2026
37IPRIH1623B1ZR,2025-02,334490,372572,27-02-2026,27-02-2026
37IPRIH1623B1ZR,2025-03,815050,822597,27-02-2026,27-02-2026
37IPRIH1623B1ZR,2025-04,687320,674870,27-02-2026,27-02-2026
37IPRIH1623B1ZR,2025-05,690152,670863,27-02-2026,27-02-2026
37IPRIH1623B1ZR,2025-06,592413,562961,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-01,1460403,1464388,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-02,474004,467905,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-03,1991908,2007519,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-04,1925722,1885326,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-05,776913,799529,27-02-2026,27-02-2026
32BIQJN6421R1ZP,2025-06,512814,530878,27-02-2026,27-02-2026
10UXOZO1226O1ZL,2025-01,960186,939592,27-02-2026,27-02-2026
10UXOZO1226O1ZL,2025-02,478877,478443,27-02-2026,02-02-2026
10UXOZO1226O1ZL,2025-03,1807799,1830926,27-02-2026,27-02-2026
10UXOZO1226O1ZL,2025-04,632041,628820,27-02-2026,27-02-2026
10UXOZO1226O1ZL,2025-05,289724,293301,27-02-2026,27-02-2026
10UXOZO1226O1ZL,2025-06,259860,213814,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-01,1551560,1547144,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-02,1053806,1004906,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-03,1316304,1315256,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-04,1124851,1139431,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-05,616693,578831,27-02-2026,27-02-2026
13BJPBB8562G1ZK,2025-06,730734,769028,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-01,1385313,1358032,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-02,1187165,1189219,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-03,1843447,1845766,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-04,913632,866902,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-05,1369284,1343805,27-02-2026,27-02-2026
13ZDZMG6295Y1ZJ,2025-06,141928,139927,27-02-2026,24-02-2026
23IJWMU7732K1ZN,2025-01,1688431,1738224,27-02-2026,08-02-2026
23IJWMU7732K1ZN,2025-02,1467074,1464683,27-02-2026,27-02-2026
23IJWMU7732K1ZN,2025-03,1005354,1023640,27-02-2026,27-02-2026
23IJWMU7732K1ZN,2025-04,466926,425696,27-02-2026,27-02-2026
23IJWMU7732K1ZN,2025-05,962825,938762,27-02-2026,27-02-2026
23IJWMU7732K1ZN,2025-06,1702893,1696701,27-02-2026,27-02-2026
15TAOPS2125H1ZP,2025-01,1413074,1371742,27-02-2026,07-02-2026
15TAOPS2125H1ZP,2025-02,897326,937466,27-02-2026,27-02-2026
15TAOPS2125H1ZP,2025-03,423893,409130,27-02-2026,27-02-2026
15TAOPS2125H1ZP,2025-04,841963,828300,27-02-2026,27-02-2026
15TAOPS2125H1ZP,2025-05,171365,163287,27-02-2026,27-02-2026
15TAOPS2125H1ZP,2025-06,1624851,1618810,27-02-2026,27-02-2026
32ZQMEU1749R1ZU,2025-01,1713742,1682241,27-02-2026,27-02-2026
32ZQMEU1749R1ZU,2025-02,1903618,1912554,27-02-2026,27-02-2026
32ZQMEU1749R1ZU,2025-03,15056,-20892,27-02-2026,27-02-2026
32ZQMEU1749R1ZU,2025-04,361951,388347,27-02-2026,03-02-2026
32ZQMEU1749R1ZU,2025-05,161627,192291,27-02-2026,27-02-2026
32ZQMEU1749R1ZU,2025-06,101352,124169,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-01,526441,535087,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-02,1171409,1208706,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-03,1707638,1675432,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-04,1090717,1055130,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-05,27376,72773,27-02-2026,27-02-2026
05YRTKV2705L1ZB,2025-06,688702,706202,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-01,701431,737202,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-02,1156106,1121931,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-03,413890,392284,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-04,722856,677224,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-05,1467265,1511861,27-02-2026,27-02-2026
01NKASN2564F1ZD,2025-06,721150,720518,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-01,725704,759796,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-02,1709445,1736949,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-03,1341195,1315361,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-04,153628,116369,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-05,1202012,1191787,27-02-2026,27-02-2026
16ENVGK3459H1ZJ,2025-06,1875853,1843822,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-01,347145,335236,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-02,949560,954875,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-03,312381,328666,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-04,1489861,1529700,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-05,1196950,1215590,27-02-2026,27-02-2026
26JOBAE4475D1ZQ,2025-06,841602,812402,27-02-2026,25-02-2026
37MBBYX5093G1ZS,2025-01,1725987,1711045,27-02-2026,27-02-2026
37MBBYX5093G1ZS,2025-02,1236389,1276860,27-02-2026,27-02-2026
37MBBYX5093G1ZS,2025-03,1265812,1225622,27-02-2026,27-02-2026
37MBBYX5093G1ZS,2025-04,825357,775946,27-02-2026,27-02-2026
37MBBYX5093G1ZS,2025-05,11022,-6906,27-02-2026,27-02-2026
37MBBYX5093G1ZS,2025-06,1528324,1512365,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-01,784780,789470,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-02,1049005,1092778,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-03,1601764,1606757,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-04,1039635,1056781,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-05,452670,405645,27-02-2026,27-02-2026
20EGVKX3719X1ZC,2025-06,1791246,1748761,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-01,1954306,1970013,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-02,619645,654742,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-03,577636,573735,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-04,312342,357252,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-05,408522,375585,27-02-2026,27-02-2026
07LVITY3702O1ZP,2025-06,1786329,1765965,27-02-2026,26-02-2026
25LRRCQ7701W1ZZ,2025-01,319851,305399,27-02-2026,29-01-2026
25LRRCQ7701W1ZZ,2025-02,818553,801933,27-02-2026,27-02-2026
25LRRCQ7701W1ZZ,2025-03,876586,839527,27-02-2026,27-02-2026
25LRRCQ7701W1ZZ,2025-04,1414045,1438560,27-02-2026,27-02-2026
25LRRCQ7701W1ZZ,2025-05,1037620,1020557,27-02-2026,27-02-2026
25LRRCQ7701W1ZZ,2025-06,258659,274717,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-01,1452482,1444806,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-02,1219236,1201401,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-03,1096488,1075225,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-04,1338523,1325125,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-05,1426267,1460030,27-02-2026,27-02-2026
24CAIJH1145N1ZD,2025-06,1194048,1215577,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-01,1246294,1218836,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-02,1293273,1293483,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-03,1296025,1271734,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-04,1403146,1431514,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-05,971510,978603,27-02-2026,27-02-2026
36CPIKH3099H1ZS,2025-06,301202,282658,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-01,183869,156677,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-02,493804,477137,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-03,1295600,1342531,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-04,721384,754585,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-05,347639,315229,27-02-2026,27-02-2026
25EGGDE2273H1ZX,2025-06,194403,203955,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-01,1431751,1385255,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-02,1192853,1181676,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-03,290010,338169,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-04,570896,580511,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-05,1408687,1386677,27-02-2026,27-02-2026
13LDAKV3844U1ZT,2025-06,1855946,1890164,27-02-2026,27-02-2026
13MEKIT6973I1ZZ,2025-01,1312928,1272525,27-02-2026,27-02-2026
13MEKIT6973I1ZZ,2025-02,400655,381893,27-02-2026,27-02-2026
13MEKIT6973I1ZZ,2025-03,1744309,1763592,27-02-2026,27-02-2026
13MEKIT6973I1ZZ,2025-04,992851,1017970,27-02-2026,27-02-2026
13MEKIT6973I1ZZ,2025-05,1873184,1878830,27-02-2026,13-02-2026
13MEKIT6973I1ZZ,2025-06,1571727,1555413,27-02-2026,11-02-2026
37FZETA7927W1ZC,2025-01,1364549,1397746,27-02-2026,27-02-2026
37FZETA7927W1ZC,2025-02,1504074,1466865,27-02-2026,27-02-2026
37FZETA7927W1ZC,2025-03,629237,579438,27-02-2026,27-02-2026
37FZETA7927W1ZC,2025-04,1078072,1060882,27-02-2026,19-02-2026
37FZETA7927W1ZC,2025-05,1784577,1807690,27-02-2026,27-02-2026
37FZETA7927W1ZC,2025-06,47420,8552,27-02-2026,06-02-2026
20GRSUB9445W1ZN,2025-01,993093,1036359,27-02-2026,27-02-2026
20GRSUB9445W1ZN,2025-02,1361300,1340357,27-02-2026,27-02-2026
20GRSUB9445W1ZN,2025-03,308775,276240,27-02-2026,27-02-2026
20GRSUB9445W1ZN,2025-04,1250408,1230027,27-02-2026,27-02-2026
20GRSUB9445W1ZN,2025-05,290876,275436,27-02-2026,27-02-2026
20GRSUB9445W1ZN,2025-06,1866131,1880689,27-02-2026,11-02-2026
24SVPXC2616S1ZU,2025-01,1624728,1598512,27-02-2026,12-02-2026
24SVPXC2616S1ZU,2025-02,539015,536477,27-02-2026,27-02-2026
24SVPXC2616S1ZU,2025-03,110456,82063,27-02-2026,27-02-2026
24SVPXC2616S1ZU,2025-04,401541,363761,27-02-2026,27-02-2026
24SVPXC2616S1ZU,2025-05,1113797,1104299,27-02-2026,27-02-2026
24SVPXC2616S1ZU,2025-06,486628,529816,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-01,1124101,1104285,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-02,1502132,1522154,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-03,379824,331896,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-04,979138,972552,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-05,782813,819764,27-02-2026,27-02-2026
28CCFTO6234V1ZS,2025-06,947582,996255,27-02-2026,27-02-2026
02MHXCV7337Q1ZP,2025-01,1856458,1856700,27-02-2026,27-02-2026
02MHXCV7337Q1ZP,2025-02,1441242,1468540,27-02-2026,27-02-2026
02MHXCV7337Q1ZP,2025-03,516141,483285,27-02-2026,27-02-2026
02MHXCV7337Q1ZP,2025-04,325020,316600,27-02-2026,27-02-2026
02MHXCV7337Q1ZP,2025-05,180317,185326,27-02-2026,04-02-2026
02MHXCV7337Q1ZP,2025-06,1251624,1239610,27-02-2026,13-02-2026
29SLBBS0318X1ZH,2025-01,1362337,1371615,27-02-2026,27-02-2026
29SLBBS0318X1ZH,2025-02,1100136,1149975,27-02-2026,27-02-2026
29SLBBS0318X1ZH,2025-03,461410,505464,27-02-2026,27-02-2026
29SLBBS0318X1ZH,2025-04,1841041,1820509,27-02-2026,27-02-2026
29SLBBS0318X1ZH,2025-05,1306879,1351073,27-02-2026,27-02-2026
29SLBBS0318X1ZH,2025-06,1656650,1683428,27-02-2026,27-02-2026
11ILMUQ1637G1ZO,2025-01,250681,294049,27-02-2026,27-02-2026
11ILMUQ1637G1ZO,2025-02,1579346,1586785,27-02-2026,27-02-2026
11ILMUQ1637G1ZO,2025-03,1336568,1330108,27-02-2026,27-02-2026
11ILMUQ1637G1ZO,2025-04,193258,224361,27-02-2026,18-02-2026
11ILMUQ1637G1ZO,2025-05,458295,473087,27-02-2026,27-02-2026
11ILMUQ1637G1ZO,2025-06,298650,301213,27-02-2026,27-02-2026
14FTVBC8134I1ZV,2025-01,1069442,1095911,27-02-2026,27-02-2026
14FTVBC8134I1ZV,2025-02,622493,646250,27-02-2026,07-02-2026
14FTVBC8134I1ZV,2025-03,1433895,1444812,27-02-2026,27-02-2026
14FTVBC8134I1ZV,2025-04,1494783,1507525,27-02-2026,27-02-2026
14FTVBC8134I1ZV,2025-05,1708883,1676596,27-02-2026,27-02-2026
14FTVBC8134I1ZV,2025-06,1163728,1207850,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-01,58740,12692,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-02,383095,399235,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-03,1410488,1415042,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-04,838610,812491,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-05,684887,698908,27-02-2026,27-02-2026
21PPPJV6872T1ZS,2025-06,235821,219029,27-02-2026,27-02-2026
08GDJDK5544R1ZW,2025-01,1195021,1236677,27-02-2026,14-02-2026
08GDJDK5544R1ZW,2025-02,215845,248743,27-02-2026,27-02-2026
08GDJDK5544R1ZW,2025-03,1402089,1419099,27-02-2026,27-02-2026
08GDJDK5544R1ZW,2025-04,1505631,1490387,27-02-2026,27-02-2026
08GDJDK5544R1ZW,2025-05,1089706,1130753,27-02-2026,27-02-2026
08GDJDK5544R1ZW,2025-06,582306,552835,27-02-2026,27-02-2026
32HEVQW9413R1ZQ,2025-01,1024540,1062802,27-02-2026,27-02-2026
32HEVQW9413R1ZQ,2025-02,1848300,1892763,27-02-2026,27-02-2026
32HEVQW9413R1ZQ,2025-03,898225,894043,27-02-2026,27-02-2026
32HEVQW9413R1ZQ,2025-04,1308465,1297447,27-02-2026,27-02-2026
32HEVQW9413R1ZQ,2025-05,1799879,1755760,27-02-2026,27-02-2026
